manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,price_usd,price_round,price_range,year,name,other_features,odometer_value/year
Toyota,4Runner,automatic,black,265542,2004,gasoline,False,gasoline,4.0,suv,False,owned,rear,False,True,True,False,True,False,False,True,True,True,2189.0,20500.0,20500.0,20500,16,Toyota 4Runner,6,16596.0
ГАЗ,69,mechanical,black,1000,1965,gasoline,False,gasoline,2.2,suv,False,owned,all,False,False,False,False,False,False,False,False,False,True,435.0,15000.0,15000.0,15000,55,ГАЗ 69,1,18.0
Citroen,Jumper,mechanical,other,1000000,2012,diesel,False,diesel,2.2,van,False,owned,front,True,False,False,False,False,False,False,False,False,False,28.0,11000.0,11000.0,11000,8,Citroen Jumper,1,125000.0
Toyota,Land Cruiser,mechanical,blue,284000,2009,diesel,False,diesel,4.2,suv,False,owned,all,False,False,False,False,True,False,False,False,False,False,31.0,36000.0,36000.0,36000,11,Toyota Land Cruiser,1,25818.0
ГАЗ,М20,mechanical,blue,100000,1950,gasoline,False,gasoline,2.4,hatchback,False,owned,rear,True,False,False,False,False,False,False,False,False,False,3.0,2000.0,2000.0,2000,70,ГАЗ М20,1,1429.0
Ford,Mondeo,mechanical,green,350000,1995,gasoline,False,gasoline,0.2,universal,False,owned,front,False,True,False,False,False,False,False,False,False,False,139.0,853.65,900.0,1000,25,Ford Mondeo,1,14000.0
Mercedes-Benz,S500,automatic,black,300000,2006,gas,True,gasoline,0.5,sedan,False,owned,rear,False,True,True,True,True,True,True,True,True,True,99.0,9999.0,10000.0,10000,14,Mercedes-Benz S500,9,21429.0
Volkswagen,Crafter,mechanical,white,340000,2014,diesel,False,diesel,2.0,minibus,False,owned,rear,False,True,False,False,True,False,False,False,True,True,115.0,33000.0,33000.0,33000,6,Volkswagen Crafter,4,56667.0
Mercedes-Benz,Sprinter,mechanical,white,935000,2011,diesel,False,diesel,2.7,minibus,False,owned,rear,False,False,False,False,False,False,False,False,True,False,176.0,16500.0,16500.0,16500,9,Mercedes-Benz Sprinter,1,103889.0
ГАЗ,М20,mechanical,brown,45000,1960,gasoline,False,gasoline,2.1,sedan,False,owned,rear,True,False,False,False,False,False,False,False,False,False,178.0,27000.0,27000.0,27000,60,ГАЗ М20,1,750.0
Mercedes-Benz,Sprinter,mechanical,white,535000,2009,diesel,False,diesel,3.0,minibus,False,owned,rear,False,True,False,False,False,False,False,False,True,False,60.0,32000.0,32000.0,32000,11,Mercedes-Benz Sprinter,2,48636.0
